epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,4,,,,0.4375,,,
0,9,,,,0.28125,,,
0,14,,,,0.40625,,,
0,19,,,,0.34375,,,
0,24,,,,0.25,,,
0,29,,,,0.40625,,,
0,34,,,,0.4375,,,
0,39,,,,0.21875,,,
0,44,,,,0.34375,,,
0,49,,,,0.5625,,,
0,54,,,,0.46875,,,
0,59,,,,0.4375,,,
0,64,,,,0.5,,,
0,69,,,,0.4375,,,
0,74,,,,0.625,,,
0,79,,,,0.59375,,,
0,84,,,,0.53125,,,
0,89,,,,0.46875,,,
0,94,,,,0.59375,,,
0,99,,,,0.53125,,,
0,104,,,,0.5,,,
0,109,,,,0.53125,,,
0,114,,,,0.65625,,,
0,119,,,,0.59375,,,
0,124,,,,0.71875,,,
0,129,,,,0.625,,,
0,134,,,,0.53125,,,
0,139,,,,0.625,,,
0,144,,,,0.46875,,,
0,149,,,,0.6875,,,
0,154,,,,0.53125,,,
0,159,,,,0.625,,,
0,164,,,,0.65625,,,
0,169,,,,0.59375,,,
0,174,,,,0.625,,,
0,179,,,,0.59375,,,
0,184,,,,0.65625,,,
0,189,,,,0.3125,,,
0,194,,,,0.5625,,,
0,199,,,,0.75,,,
0,204,,,,0.875,,,
0,209,,,,0.65625,,,
0,214,,,,0.625,,,
0,219,,,,0.6875,,,
0,224,,,,0.78125,,,
0,229,,,,0.625,,,
0,234,,,,0.84375,,,
0,239,,,,0.75,,,
0,244,,,,0.5625,,,
0,249,,,,0.78125,,,
0,254,,,,0.71875,,,
0,259,,,,0.75,,,
0,264,,,,0.6875,,,
0,269,,,,0.75,,,
0,274,,,,0.8125,,,
0,279,,,,0.84375,,,
0,284,,,,0.75,,,
0,289,,,,0.78125,,,
0,294,,,,0.78125,,,
0,299,,,,0.78125,,,
0,304,,,,0.875,,,
0,309,,,,0.75,,,
0,312,,,,,,0.7577577829360962,0.6611630916595459
0,312,,,0.5843584537506104,,0.9091931581497192,,
1,314,,,,0.71875,,,
1,319,,,,0.6875,,,
1,324,,,,0.8125,,,
1,329,,,,0.78125,,,
1,334,,,,0.78125,,,
1,339,,,,0.84375,,,
1,344,,,,0.84375,,,
1,349,,,,0.90625,,,
1,354,,,,0.875,,,
1,359,,,,0.875,,,
1,364,,,,0.875,,,
1,369,,,,0.84375,,,
1,374,,,,0.84375,,,
1,379,,,,0.84375,,,
1,384,,,,0.90625,,,
1,389,,,,0.9375,,,
1,394,,,,0.8125,,,
1,399,,,,0.84375,,,
1,404,,,,0.8125,,,
1,409,,,,0.71875,,,
1,414,,,,0.84375,,,
1,419,,,,0.75,,,
1,424,,,,0.96875,,,
1,429,,,,0.84375,,,
1,434,,,,0.8125,,,
1,439,,,,0.90625,,,
1,444,,,,0.9375,,,
1,449,,,,0.9375,,,
1,454,,,,0.875,,,
1,459,,,,0.9375,,,
1,464,,,,0.90625,,,
1,469,,,,0.9375,,,
1,474,,,,0.90625,,,
1,479,,,,1.0,,,
1,484,,,,0.875,,,
1,489,,,,0.9375,,,
1,494,,,,0.9375,,,
1,499,,,,0.84375,,,
1,504,,,,0.90625,,,
1,509,,,,1.0,,,
1,514,,,,0.84375,,,
1,519,,,,0.9375,,,
1,524,,,,0.90625,,,
1,529,,,,0.96875,,,
1,534,,,,0.90625,,,
1,539,,,,0.96875,,,
1,544,,,,0.96875,,,
1,549,,,,0.875,,,
1,554,,,,0.875,,,
1,559,,,,0.9375,,,
1,564,,,,0.9375,,,
1,569,,,,0.96875,,,
1,574,,,,1.0,,,
1,579,,,,0.96875,,,
1,584,,,,0.9375,,,
1,589,,,,0.96875,,,
1,594,,,,0.875,,,
1,599,,,,0.90625,,,
1,604,,,,0.90625,,,
1,609,,,,0.96875,,,
1,614,,,,0.90625,,,
1,619,,,,0.96875,,,
1,624,,,,0.9375,,,
1,625,,,,,,0.955955982208252,0.27105000615119934
1,625,,,0.8750874996185303,,0.44555866718292236,,
2,629,,,,0.96875,,,
2,634,,,,0.875,,,
2,639,,,,0.90625,,,
2,644,,,,0.9375,,,
2,649,,,,1.0,,,
2,654,,,,0.96875,,,
2,659,,,,0.96875,,,
2,664,,,,0.9375,,,
2,669,,,,0.90625,,,
2,674,,,,1.0,,,
2,679,,,,0.96875,,,
2,684,,,,0.96875,,,
2,689,,,,1.0,,,
2,694,,,,0.96875,,,
2,699,,,,0.90625,,,
2,704,,,,1.0,,,
2,709,,,,0.96875,,,
2,714,,,,0.96875,,,
2,719,,,,0.96875,,,
2,724,,,,1.0,,,
2,729,,,,1.0,,,
2,734,,,,1.0,,,
2,739,,,,1.0,,,
2,744,,,,1.0,,,
2,749,,,,1.0,,,
2,754,,,,0.96875,,,
2,759,,,,0.9375,,,
2,764,,,,0.9375,,,
2,769,,,,1.0,,,
2,774,,,,1.0,,,
2,779,,,,1.0,,,
2,784,,,,1.0,,,
2,789,,,,1.0,,,
2,794,,,,0.96875,,,
2,799,,,,1.0,,,
2,804,,,,1.0,,,
2,809,,,,0.96875,,,
2,814,,,,1.0,,,
2,819,,,,0.96875,,,
2,824,,,,0.96875,,,
2,829,,,,1.0,,,
2,834,,,,1.0,,,
2,839,,,,1.0,,,
2,844,,,,0.96875,,,
2,849,,,,1.0,,,
2,854,,,,1.0,,,
2,859,,,,1.0,,,
2,864,,,,1.0,,,
2,869,,,,1.0,,,
2,874,,,,1.0,,,
2,879,,,,1.0,,,
2,884,,,,0.96875,,,
2,889,,,,1.0,,,
2,894,,,,0.96875,,,
2,899,,,,1.0,,,
2,904,,,,1.0,,,
2,909,,,,1.0,,,
2,914,,,,0.9375,,,
2,919,,,,0.96875,,,
2,924,,,,1.0,,,
2,929,,,,1.0,,,
2,934,,,,1.0,,,
2,938,,,,,,0.9859859943389893,0.11970480531454086
2,938,,,0.9776977896690369,,0.18262337148189545,,
3,939,,,,0.96875,,,
3,944,,,,1.0,,,
3,949,,,,0.96875,,,
3,954,,,,1.0,,,
3,959,,,,0.96875,,,
3,964,,,,1.0,,,
3,969,,,,1.0,,,
3,974,,,,1.0,,,
3,979,,,,1.0,,,
3,984,,,,1.0,,,
3,989,,,,1.0,,,
3,994,,,,1.0,,,
3,999,,,,1.0,,,
3,1004,,,,1.0,,,
3,1009,,,,1.0,,,
3,1014,,,,1.0,,,
3,1019,,,,1.0,,,
3,1024,,,,0.96875,,,
3,1029,,,,1.0,,,
3,1034,,,,1.0,,,
3,1039,,,,1.0,,,
3,1044,,,,1.0,,,
3,1049,,,,1.0,,,
3,1054,,,,1.0,,,
3,1059,,,,1.0,,,
3,1064,,,,1.0,,,
3,1069,,,,1.0,,,
3,1074,,,,1.0,,,
3,1079,,,,1.0,,,
3,1084,,,,1.0,,,
3,1089,,,,1.0,,,
3,1094,,,,1.0,,,
3,1099,,,,1.0,,,
3,1104,,,,0.96875,,,
3,1109,,,,1.0,,,
3,1114,,,,1.0,,,
3,1119,,,,1.0,,,
3,1124,,,,1.0,,,
3,1129,,,,1.0,,,
3,1134,,,,1.0,,,
3,1139,,,,1.0,,,
3,1144,,,,1.0,,,
3,1149,,,,1.0,,,
3,1154,,,,1.0,,,
3,1159,,,,0.96875,,,
3,1164,,,,1.0,,,
3,1169,,,,1.0,,,
3,1174,,,,1.0,,,
3,1179,,,,1.0,,,
3,1184,,,,1.0,,,
3,1189,,,,1.0,,,
3,1194,,,,1.0,,,
3,1199,,,,1.0,,,
3,1204,,,,1.0,,,
3,1209,,,,1.0,,,
3,1214,,,,1.0,,,
3,1219,,,,1.0,,,
3,1224,,,,1.0,,,
3,1229,,,,1.0,,,
3,1234,,,,1.0,,,
3,1239,,,,1.0,,,
3,1244,,,,1.0,,,
3,1249,,,,1.0,,,
3,1251,,,,,,1.0,0.05512898042798042
3,1251,,,0.9968996644020081,,0.0801859050989151,,
4,1254,,,,1.0,,,
4,1259,,,,1.0,,,
4,1264,,,,1.0,,,
4,1269,,,,1.0,,,
4,1274,,,,1.0,,,
4,1279,,,,1.0,,,
4,1284,,,,1.0,,,
4,1289,,,,1.0,,,
4,1294,,,,1.0,,,
4,1299,,,,1.0,,,
4,1304,,,,1.0,,,
4,1309,,,,1.0,,,
4,1314,,,,1.0,,,
4,1319,,,,1.0,,,
4,1324,,,,1.0,,,
4,1329,,,,1.0,,,
4,1334,,,,1.0,,,
4,1339,,,,1.0,,,
4,1344,,,,1.0,,,
4,1349,,,,1.0,,,
4,1354,,,,1.0,,,
4,1359,,,,1.0,,,
4,1364,,,,1.0,,,
4,1369,,,,1.0,,,
4,1374,,,,1.0,,,
4,1379,,,,1.0,,,
4,1384,,,,1.0,,,
4,1389,,,,1.0,,,
4,1394,,,,1.0,,,
4,1399,,,,1.0,,,
4,1404,,,,1.0,,,
4,1409,,,,0.96875,,,
4,1414,,,,1.0,,,
4,1419,,,,1.0,,,
4,1424,,,,1.0,,,
4,1429,,,,1.0,,,
4,1434,,,,1.0,,,
4,1439,,,,1.0,,,
4,1444,,,,1.0,,,
4,1449,,,,1.0,,,
4,1454,,,,1.0,,,
4,1459,,,,1.0,,,
4,1464,,,,1.0,,,
4,1469,,,,1.0,,,
4,1474,,,,1.0,,,
4,1479,,,,1.0,,,
4,1484,,,,1.0,,,
4,1489,,,,1.0,,,
4,1494,,,,1.0,,,
4,1499,,,,1.0,,,
4,1504,,,,1.0,,,
4,1509,,,,1.0,,,
4,1514,,,,1.0,,,
4,1519,,,,1.0,,,
4,1524,,,,1.0,,,
4,1529,,,,1.0,,,
4,1534,,,,1.0,,,
4,1539,,,,1.0,,,
4,1544,,,,1.0,,,
4,1549,,,,1.0,,,
4,1554,,,,1.0,,,
4,1559,,,,1.0,,,
4,1564,,,,1.0,,,
4,1564,,,,,,1.0,0.02429194748401642
4,1564,,,0.9995999336242676,,0.03661956638097763,,
5,1569,,,,1.0,,,
5,1574,,,,1.0,,,
5,1579,,,,1.0,,,
5,1584,,,,1.0,,,
5,1589,,,,1.0,,,
5,1594,,,,1.0,,,
5,1599,,,,1.0,,,
