epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,4,,,,0.28125,,,
0,9,,,,0.6875,,,
0,14,,,,0.53125,,,
0,19,,,,0.59375,,,
0,24,,,,0.5625,,,
0,29,,,,0.4375,,,
0,34,,,,0.46875,,,
0,39,,,,0.34375,,,
0,44,,,,0.625,,,
0,49,,,,0.5,,,
0,54,,,,0.5,,,
0,59,,,,0.53125,,,
0,64,,,,0.5,,,
0,69,,,,0.46875,,,
0,74,,,,0.5625,,,
0,79,,,,0.5,,,
0,84,,,,0.375,,,
0,89,,,,0.625,,,
0,94,,,,0.53125,,,
0,99,,,,0.5,,,
0,104,,,,0.5,,,
0,109,,,,0.40625,,,
0,114,,,,0.40625,,,
0,119,,,,0.59375,,,
0,124,,,,0.59375,,,
0,129,,,,0.5625,,,
0,134,,,,0.625,,,
0,139,,,,0.65625,,,
0,144,,,,0.5,,,
0,149,,,,0.5,,,
0,154,,,,0.5,,,
0,159,,,,0.4375,,,
0,164,,,,0.59375,,,
0,169,,,,0.65625,,,
0,174,,,,0.5625,,,
0,179,,,,0.4375,,,
0,184,,,,0.6875,,,
0,189,,,,0.53125,,,
0,194,,,,0.59375,,,
0,199,,,,0.53125,,,
0,204,,,,0.78125,,,
0,209,,,,0.46875,,,
0,214,,,,0.59375,,,
0,219,,,,0.53125,,,
0,224,,,,0.75,,,
0,229,,,,0.6875,,,
0,234,,,,0.59375,,,
0,239,,,,0.3125,,,
0,244,,,,0.4375,,,
0,249,,,,0.5,,,
0,254,,,,0.46875,,,
0,259,,,,0.53125,,,
0,264,,,,0.625,,,
0,269,,,,0.5625,,,
0,274,,,,0.53125,,,
0,279,,,,0.5625,,,
0,284,,,,0.53125,,,
0,289,,,,0.53125,,,
0,294,,,,0.65625,,,
0,299,,,,0.5625,,,
0,304,,,,0.59375,,,
0,309,,,,0.625,,,
0,312,,,,,,0.5580000281333923,0.6800591945648193
