epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,4,,,,0.28125,,,
0,9,,,,0.375,,,
0,14,,,,0.3125,,,
0,19,,,,0.21875,,,
0,24,,,,0.1875,,,
0,29,,,,0.375,,,
0,34,,,,0.4375,,,
0,39,,,,0.5,,,
0,44,,,,0.3125,,,
0,49,,,,0.4375,,,
0,54,,,,0.375,,,
0,59,,,,0.34375,,,
0,64,,,,0.625,,,
0,69,,,,0.53125,,,
0,74,,,,0.625,,,
0,79,,,,0.625,,,
0,84,,,,0.40625,,,
0,89,,,,0.375,,,
0,94,,,,0.53125,,,
0,99,,,,0.625,,,
0,104,,,,0.375,,,
0,109,,,,0.5,,,
0,114,,,,0.59375,,,
0,119,,,,0.59375,,,
0,124,,,,0.59375,,,
0,129,,,,0.53125,,,
0,134,,,,0.75,,,
0,139,,,,0.53125,,,
0,144,,,,0.5625,,,
0,149,,,,0.71875,,,
0,154,,,,0.625,,,
0,159,,,,0.53125,,,
0,164,,,,0.625,,,
0,169,,,,0.59375,,,
0,174,,,,0.75,,,
0,179,,,,0.6875,,,
0,184,,,,0.625,,,
0,189,,,,0.46875,,,
0,194,,,,0.5625,,,
0,199,,,,0.84375,,,
0,204,,,,0.59375,,,
0,209,,,,0.625,,,
0,214,,,,0.59375,,,
0,219,,,,0.625,,,
0,224,,,,0.625,,,
0,229,,,,0.8125,,,
0,234,,,,0.71875,,,
0,239,,,,0.625,,,
0,244,,,,0.8125,,,
0,249,,,,0.625,,,
0,254,,,,0.6875,,,
0,259,,,,0.6875,,,
0,264,,,,0.71875,,,
0,269,,,,0.65625,,,
0,274,,,,0.53125,,,
0,279,,,,0.65625,,,
0,284,,,,0.84375,,,
0,289,,,,0.65625,,,
0,294,,,,0.5625,,,
0,299,,,,0.75,,,
0,304,,,,0.5625,,,
0,309,,,,0.71875,,,
0,312,,,,,,0.7007007002830505,0.6592146158218384
0,312,,,0.573357343673706,,0.8541465401649475,,
1,314,,,,0.78125,,,
1,319,,,,0.625,,,
1,324,,,,0.71875,,,
1,329,,,,0.65625,,,
1,334,,,,0.625,,,
1,339,,,,0.71875,,,
1,344,,,,0.71875,,,
1,349,,,,0.75,,,
1,354,,,,0.78125,,,
1,359,,,,0.65625,,,
1,364,,,,0.78125,,,
1,369,,,,0.65625,,,
1,374,,,,0.625,,,
1,379,,,,0.59375,,,
1,384,,,,0.71875,,,
1,389,,,,0.84375,,,
1,394,,,,0.6875,,,
1,399,,,,0.75,,,
1,404,,,,0.71875,,,
1,409,,,,0.75,,,
1,414,,,,0.65625,,,
1,419,,,,0.59375,,,
1,424,,,,0.875,,,
1,429,,,,0.78125,,,
1,434,,,,0.625,,,
1,439,,,,0.625,,,
1,444,,,,0.8125,,,
1,449,,,,0.6875,,,
1,454,,,,0.8125,,,
1,459,,,,0.71875,,,
1,464,,,,0.84375,,,
1,469,,,,0.96875,,,
1,474,,,,0.84375,,,
1,479,,,,0.71875,,,
1,484,,,,0.625,,,
1,489,,,,0.875,,,
1,494,,,,0.8125,,,
1,499,,,,0.8125,,,
1,504,,,,0.6875,,,
1,509,,,,0.8125,,,
1,514,,,,0.875,,,
1,519,,,,0.75,,,
1,524,,,,0.71875,,,
1,529,,,,0.875,,,
1,534,,,,0.8125,,,
1,539,,,,0.78125,,,
1,544,,,,0.625,,,
1,549,,,,0.71875,,,
1,554,,,,0.59375,,,
1,559,,,,0.8125,,,
1,564,,,,0.78125,,,
1,569,,,,0.84375,,,
1,574,,,,0.84375,,,
1,579,,,,0.8125,,,
1,584,,,,0.75,,,
1,589,,,,0.59375,,,
1,594,,,,0.78125,,,
1,599,,,,0.8125,,,
1,604,,,,0.6875,,,
1,609,,,,0.71875,,,
1,614,,,,0.78125,,,
1,619,,,,0.8125,,,
1,624,,,,0.8125,,,
1,625,,,,,,0.7997997999191284,0.4278079867362976
1,625,,,0.7456745505332947,,0.5302332639694214,,
2,629,,,,0.8125,,,
2,634,,,,0.875,,,
2,639,,,,0.84375,,,
2,644,,,,0.75,,,
2,649,,,,0.90625,,,
2,654,,,,0.75,,,
2,659,,,,0.78125,,,
2,664,,,,0.90625,,,
2,669,,,,0.8125,,,
2,674,,,,0.71875,,,
2,679,,,,0.71875,,,
2,684,,,,0.84375,,,
2,689,,,,0.84375,,,
2,694,,,,0.6875,,,
